,From,To
24497,CFC3_t393,CCP2_t394
24498,CFC7_t322,CP6_t323
24499,PO2_t8,PO2_t9
24500,F3_t315,FC5_t316
24501,F6_t197,F6_t198
24502,AF4_t125,AF4_t126
24503,CCP3_t210,CCP3_t211
24504,CFC7_t274,FC5_t275
24505,F6_t97,F6_t98
24506,F6_t354,CFC8_t355
24507,Pz_t232,Pz_t233
24508,T8_t291,P5_t292
24509,CFC8_t24,CFC8_t25
24510,AF4_t196,AF4_t197
24511,CFC8_t334,C1_t335
24512,CP4_t265,CP4_t266
24513,P1_t31,P1_t32
24514,PO2_t99,CCP3_t100
24515,AF3_t106,FCz_t107
24516,CCP1_t4,CCP1_t5
24517,CPz_t173,CPz_t174
24518,CCP5_t334,C3_t335
24519,F5_t218,P5_t219
24520,CP2_t9,CP2_t10
24521,FC3_t85,O2_t86
24522,PO2_t42,PO2_t43
24523,F1_t379,F1_t380
24524,PO2_t363,PO2_t364
24525,AF3_t151,FC1_t152
24526,C1_t171,C1_t172
24527,CFC5_t149,CFC5_t150
24528,CFC7_t321,CCP6_t322
24529,C2_t275,CFC3_t276
24530,CP3_t102,CP3_t103
24531,CFC6_t266,CCP7_t267
24532,O2_t337,CCP7_t338
24533,P4_t82,FC5_t83
24534,CFC6_t158,CFC6_t159
24535,CCP6_t119,CCP6_t120
24536,CP4_t110,CP4_t111
24537,C3_t77,C3_t78
24538,F4_t228,F4_t229
24539,P2_t148,P2_t149
24540,CP1_t127,CCP2_t128
24541,T8_t157,T8_t158
24542,CFC3_t281,CFC3_t282
24543,AF3_t36,T7_t37
24544,CFC6_t270,CFC6_t271
24545,F6_t145,P4_t146
24546,CP4_t75,P5_t76
24547,FC3_t173,FC3_t174
24548,CCP8_t117,PO1_t118
24549,P5_t308,P2_t309
24550,PO2_t364,PO2_t365
24551,CP6_t37,CP6_t38
24552,CFC1_t264,CFC1_t265
24553,CCP3_t21,CCP3_t22
24554,P6_t198,P6_t199
24555,C6_t87,C4_t88
24556,CCP6_t220,CCP6_t221
24557,CP2_t337,CP2_t338
24558,CFC3_t340,CCP6_t341
24559,FCz_t297,FCz_t298
24560,C4_t139,PO1_t140
24561,CFC4_t164,CFC4_t165
24562,O2_t331,O2_t332
24563,CCP6_t139,CCP6_t140
24564,P3_t244,P3_t245
24565,FC1_t64,FC1_t65
24566,CCP2_t117,CCP2_t118
24567,P5_t121,P5_t122
24568,FC4_t280,FC4_t281
24569,CCP2_t124,CCP2_t125
24570,T8_t171,C1_t172
24571,C2_t199,O1_t200
24572,C2_t388,C2_t389
24573,CFC7_t156,CFC7_t157
24574,CP3_t79,C5_t80
24575,F4_t153,F6_t154
24576,P1_t113,CCP3_t114
24577,CP1_t336,CP1_t337
24578,CFC1_t5,CFC1_t6
24579,FC1_t103,CFC5_t104
24580,CCP2_t371,CCP2_t372
24581,PO2_t353,O2_t354
24582,FC2_t297,FC2_t298
24583,CP3_t289,CP3_t290
24584,AF3_t386,CFC7_t387
24585,CCP3_t108,Cz_t109
24586,PO1_t207,Cz_t208
24587,FC4_t392,CCP3_t393
24588,C2_t138,C2_t139
24589,CFC6_t245,C3_t246
24590,CFC4_t358,CFC4_t359
24591,CP1_t382,CFC6_t383
24592,O2_t15,O2_t16
24593,O1_t16,CFC8_t17
24594,C4_t122,CCP6_t123
24595,CFC7_t126,T7_t127
24596,FCz_t284,FCz_t285
24597,Pz_t73,O1_t74
24598,FC4_t235,P6_t236
24599,PO1_t127,PO1_t128
24600,T8_t219,T8_t220
24601,AF3_t364,CP5_t365
24602,P6_t295,P6_t296
24603,AF3_t21,CFC8_t22
24604,PO2_t257,PO2_t258
24605,C6_t24,C6_t25
24606,CPz_t300,FCz_t301
24607,PO2_t83,PO2_t84
24608,F3_t53,F3_t54
24609,F2_t272,O1_t273
24610,O2_t350,O2_t351
24611,O1_t340,O1_t341
24612,P2_t274,P5_t275
24613,Pz_t359,Pz_t360
24614,O1_t266,F3_t267
24615,C1_t322,C1_t323
24616,FCz_t147,Cz_t148
24617,P1_t114,O1_t115
24618,O2_t303,CP3_t304
24619,CP2_t191,CP2_t192
24620,FCz_t251,FC1_t252
24621,CFC1_t263,O1_t264
24622,CCP8_t178,CCP8_t179
24623,C5_t250,P6_t251
24624,AF3_t150,F3_t151
24625,CP2_t124,CP2_t125
24626,CP2_t101,F4_t102
24627,FC6_t263,O2_t264
24628,T8_t296,AF3_t297
24629,P4_t138,P4_t139
24630,CFC5_t396,CFC5_t397
24631,CPz_t66,CPz_t67
24632,CCP8_t117,CCP8_t118
24633,P1_t235,P1_t236
24634,C3_t225,C3_t226
24635,CCP4_t282,F3_t283
24636,T8_t48,T8_t49
24637,FC5_t12,F6_t13
24638,CFC8_t53,CFC8_t54
24639,PO2_t207,PO2_t208
24640,AF3_t269,F5_t270
24641,C3_t96,C3_t97
24642,P5_t301,P5_t302
24643,CP1_t138,CP2_t139
24644,CP2_t169,F6_t170
24645,CCP3_t117,FC6_t118
24646,FC5_t245,FC5_t246
24647,C3_t314,C3_t315
24648,C3_t39,C3_t40
24649,FC3_t114,FC3_t115
24650,PO1_t2,CCP5_t3
24651,C5_t335,CP4_t336
24652,CFC7_t197,CFC7_t198
24653,F2_t356,Cz_t357
24654,CP6_t157,CP6_t158
24655,F2_t20,F2_t21
24656,CP2_t270,C3_t271
24657,F3_t161,T7_t162
24658,CP4_t150,CP4_t151
24659,C6_t351,C6_t352
24660,P3_t113,P3_t114
24661,FC5_t298,FC1_t299
24662,CFC1_t279,C6_t280
24663,CFC8_t61,F5_t62
24664,PO1_t72,P2_t73
24665,AF3_t116,CCP7_t117
24666,FC4_t281,F4_t282
24667,PO1_t293,PO1_t294
24668,Fz_t324,Fz_t325
24669,P4_t186,P4_t187
24670,AF3_t57,FC2_t58
24671,T7_t6,CCP5_t7
24672,FC2_t131,C4_t132
24673,F1_t152,CFC1_t153
24674,CFC8_t284,CFC8_t285
24675,Fz_t390,Fz_t391
24676,CP6_t323,CFC3_t324
24677,CP3_t98,C5_t99
24678,F4_t369,F4_t370
24679,CCP4_t184,CCP4_t185
24680,CCP6_t242,Pz_t243
24681,F3_t126,F3_t127
24682,CCP8_t72,P3_t73
24683,CFC5_t76,CFC6_t77
24684,CFC3_t82,CFC3_t83
24685,Cz_t73,Cz_t74
24686,CP4_t286,T7_t287
24687,PO2_t140,PO2_t141
24688,CCP4_t317,CFC5_t318
24689,FCz_t26,CCP5_t27
24690,T8_t130,C6_t131
24691,CCP6_t5,CCP6_t6
24692,C4_t78,C4_t79
24693,PO1_t73,Pz_t74
24694,CFC8_t329,C1_t330
24695,FC2_t54,C2_t55
24696,F1_t189,CFC7_t190
24697,AF4_t113,AF4_t114
24698,CCP2_t261,PO2_t262
24699,CCP1_t140,Pz_t141
24700,CPz_t203,FC2_t204
24701,CP6_t103,CP6_t104
24702,C3_t303,C3_t304
24703,CCP7_t204,FC4_t205
24704,F1_t371,Fz_t372
24705,FCz_t268,CFC6_t269
24706,FC1_t99,FC1_t100
24707,CCP8_t126,CCP8_t127
24708,C1_t84,F3_t85
24709,P4_t30,C4_t31
24710,F6_t352,P5_t353
24711,P3_t391,P3_t392
24712,Pz_t347,CP1_t348
24713,CP1_t377,CP1_t378
24714,C1_t88,C1_t89
24715,C6_t244,CP5_t245
24716,CFC5_t163,PO1_t164
24717,CFC3_t390,CFC3_t391
24718,FC3_t323,CP5_t324
24719,Cz_t165,Cz_t166
24720,CCP5_t12,C3_t13
24721,CFC8_t179,P1_t180
24722,FC3_t270,FC3_t271
24723,CP1_t45,CFC1_t46
24724,CFC6_t39,FC5_t40
24725,F2_t134,F2_t135
24726,CFC4_t287,CFC4_t288
24727,FC1_t386,FC1_t387
24728,CFC8_t64,F2_t65
24729,T8_t364,T8_t365
24730,FC3_t370,FC3_t371
24731,CFC7_t71,T7_t72
24732,F3_t317,F3_t318
24733,F1_t59,F1_t60
24734,CPz_t196,CPz_t197
24735,C2_t81,C2_t82
24736,P4_t375,P4_t376
24737,CP6_t279,CP6_t280
24738,F3_t103,FC6_t104
24739,Pz_t199,P6_t200
24740,C2_t374,C2_t375
24741,CFC8_t240,Pz_t241
24742,T8_t296,FC2_t297
24743,C5_t286,PO1_t287
24744,C3_t115,T7_t116
24745,AF3_t272,C6_t273
24746,CCP6_t16,CCP1_t17
24747,CP3_t280,CP3_t281
24748,FC5_t374,CCP2_t375
24749,CCP4_t194,CCP4_t195
24750,CCP6_t205,C2_t206
24751,CFC1_t16,P2_t17
24752,C1_t296,C1_t297
24753,Fz_t290,O1_t291
24754,F1_t147,P5_t148
24755,Cz_t37,PO1_t38
24756,Pz_t57,CP2_t58
24757,P6_t60,P6_t61
24758,FC1_t131,FC5_t132
24759,T8_t72,T8_t73
24760,Cz_t55,P4_t56
24761,CFC1_t263,CFC8_t264
24762,AF3_t113,F4_t114
24763,P6_t189,P6_t190
24764,CPz_t254,P6_t255
24765,FC6_t60,FC6_t61
24766,FC3_t107,FC3_t108
24767,CCP3_t37,FC1_t38
24768,P1_t26,P6_t27
24769,T7_t50,CP3_t51
24770,F6_t191,F6_t192
24771,F2_t225,FC5_t226
24772,C4_t102,C4_t103
24773,CP1_t138,CCP2_t139
24774,T7_t98,PO2_t99
24775,T7_t320,T7_t321
24776,CFC7_t71,CP4_t72
24777,P2_t396,P2_t397
24778,F4_t339,F4_t340
24779,C3_t32,F3_t33
24780,F5_t82,C3_t83
24781,Cz_t366,Cz_t367
24782,FC3_t101,FC3_t102
24783,P3_t194,P3_t195
24784,CFC2_t157,CP4_t158
24785,CPz_t287,P4_t288
24786,P6_t13,CP4_t14
24787,CFC6_t241,CFC4_t242
24788,P5_t13,P5_t14
24789,FC2_t193,FC3_t194
24790,C6_t71,CP5_t72
24791,CP5_t250,F5_t251
24792,CCP4_t392,CCP4_t393
24793,AF4_t377,FC3_t378
24794,PO2_t89,CFC1_t90
24795,C4_t323,O2_t324
24796,CP4_t225,CP4_t226
24797,C6_t68,C6_t69
24798,CCP8_t11,CCP8_t12
24799,C3_t300,CCP4_t301
24800,FC6_t269,FC6_t270
24801,PO2_t35,PO2_t36
24802,P6_t328,P6_t329
24803,F5_t299,F5_t300
24804,F1_t137,F1_t138
24805,O1_t368,O1_t369
24806,CFC6_t294,CFC6_t295
24807,F6_t2,F6_t3
24808,FC1_t301,FC1_t302
24809,Pz_t269,Pz_t270
24810,C2_t244,CCP7_t245
24811,CFC8_t152,CFC8_t153
24812,PO1_t257,O2_t258
24813,F6_t115,CCP7_t116
24814,AF3_t150,AF4_t151
24815,C6_t193,C6_t194
24816,C3_t328,FC6_t329
24817,PO2_t225,C3_t226
24818,T8_t23,F5_t24
24819,CCP1_t283,F1_t284
24820,F5_t203,CP4_t204
24821,AF3_t90,AF3_t91
24822,CP3_t207,CP3_t208
24823,PO1_t350,PO1_t351
24824,AF3_t353,F6_t354
24825,P3_t285,C3_t286
24826,CCP7_t341,CCP7_t342
24827,F3_t394,F3_t395
24828,CFC6_t208,P5_t209
24829,FC5_t132,CCP5_t133
24830,CCP3_t9,CFC1_t10
24831,C2_t12,C2_t13
24832,P4_t254,P4_t255
24833,CCP6_t352,CCP6_t353
24834,O1_t176,CCP3_t177
24835,CFC7_t278,CCP8_t279
24836,CFC5_t393,T7_t394
24837,CP2_t86,CP2_t87
24838,CCP8_t116,CCP8_t117
24839,CCP6_t316,O1_t317
24840,Fz_t116,CPz_t117
24841,CCP5_t169,PO2_t170
24842,CCP3_t39,P5_t40
24843,CP2_t107,FC4_t108
24844,CCP4_t161,CCP4_t162
24845,F4_t86,P5_t87
24846,P4_t130,AF4_t131
24847,CP3_t311,CP3_t312
24848,P2_t348,AF4_t349
24849,P1_t7,P1_t8
24850,CPz_t233,P2_t234
24851,CFC3_t47,P6_t48
24852,F5_t253,F4_t254
24853,Cz_t281,Cz_t282
24854,P2_t390,P2_t391
24855,P1_t19,PO1_t20
24856,FCz_t90,FCz_t91
24857,CCP1_t147,CCP1_t148
24858,FC1_t73,FC1_t74
24859,FC1_t49,CPz_t50
24860,F5_t72,T7_t73
24861,P6_t127,P6_t128
24862,CCP6_t334,CCP6_t335
24863,F3_t388,FC5_t389
24864,AF3_t396,AF3_t397
24865,O2_t76,O2_t77
24866,CCP7_t100,CCP7_t101
24867,CFC1_t396,C5_t397
24868,FC3_t113,CP4_t114
24869,F3_t353,F3_t354
24870,CP4_t127,F5_t128
24871,FC6_t333,FC6_t334
24872,P3_t15,P3_t16
24873,CP1_t367,CP1_t368
24874,F2_t12,F2_t13
24875,O2_t87,O2_t88
24876,Fz_t153,O2_t154
24877,PO1_t207,PO2_t208
24878,P3_t267,P3_t268
24879,C6_t216,C6_t217
24880,CFC8_t208,C6_t209
24881,F6_t17,F6_t18
24882,CCP6_t60,F4_t61
24883,FC2_t79,FC2_t80
24884,FC2_t32,CFC2_t33
24885,P2_t165,P2_t166
24886,CP5_t133,CP5_t134
24887,CCP8_t80,CCP8_t81
24888,FC2_t105,F3_t106
24889,AF3_t328,AF3_t329
24890,CCP1_t337,CCP1_t338
24891,CCP6_t379,CCP8_t380
24892,C2_t383,C2_t384
24893,FC4_t397,F4_t398
24894,P2_t215,FC1_t216
24895,P1_t229,P1_t230
24896,Cz_t286,Cz_t287
24897,CFC1_t14,FCz_t15
24898,F2_t204,O2_t205
24899,CCP6_t12,CCP6_t13
24900,AF3_t104,F3_t105
24901,CFC7_t332,T8_t333
24902,CCP5_t346,CPz_t347
24903,F5_t194,CCP3_t195
24904,P3_t291,P3_t292
24905,P5_t254,P5_t255
24906,CP3_t256,C1_t257
24907,F3_t388,CFC5_t389
24908,CP5_t10,CP5_t11
24909,C1_t62,C1_t63
24910,CCP7_t262,P3_t263
24911,FC5_t326,FC5_t327
24912,CP4_t276,CP4_t277
24913,P2_t239,P2_t240
24914,CCP8_t44,CCP8_t45
24915,CP3_t63,CCP8_t64
24916,P1_t160,P1_t161
24917,CFC3_t189,T8_t190
24918,CP4_t187,F5_t188
24919,CFC4_t168,CFC4_t169
24920,C5_t87,C5_t88
24921,FC3_t237,FC3_t238
24922,CFC1_t14,CFC5_t15
24923,CP4_t155,CP4_t156
24924,CP4_t22,CP2_t23
24925,CP1_t394,C3_t395
24926,T7_t311,T7_t312
24927,F4_t287,F4_t288
24928,CCP1_t43,CCP1_t44
24929,FC2_t344,C1_t345
24930,CFC7_t67,CP4_t68
24931,CP5_t195,CP5_t196
24932,CCP8_t391,CCP8_t392
24933,C1_t365,C1_t366
24934,Pz_t170,CFC8_t171
24935,F2_t354,FC5_t355
24936,C5_t126,FC2_t127
24937,AF3_t151,F1_t152
24938,FC1_t213,CCP6_t214
24939,CPz_t171,CPz_t172
24940,CCP4_t220,CCP4_t221
24941,CP3_t174,P5_t175
24942,CP1_t381,CP1_t382
24943,FCz_t360,FCz_t361
24944,F5_t291,F5_t292
24945,C2_t114,C2_t115
24946,Fz_t37,CP2_t38
24947,AF4_t330,AF4_t331
24948,AF3_t354,CCP5_t355
24949,F6_t108,F6_t109
24950,P4_t151,P4_t152
24951,C6_t75,C4_t76
24952,C5_t250,C5_t251
24953,CFC1_t11,CFC1_t12
24954,AF4_t359,CFC2_t360
24955,CFC1_t70,CFC1_t71
24956,CCP4_t223,O1_t224
24957,P5_t227,CP3_t228
24958,C1_t28,AF4_t29
24959,CP2_t349,CP1_t350
24960,FC5_t281,FC5_t282
24961,CP4_t4,CP4_t5
24962,CCP1_t366,Cz_t367
24963,CCP5_t253,CCP5_t254
24964,CP6_t274,CP5_t275
24965,T8_t129,CFC6_t130
24966,Pz_t264,C6_t265
24967,CCP1_t279,CCP1_t280
24968,C3_t206,C4_t207
24969,CFC4_t343,F2_t344
24970,Pz_t199,Pz_t200
24971,FC5_t179,FC5_t180
24972,C2_t245,F2_t246
24973,FC5_t16,FC5_t17
24974,Pz_t14,CP1_t15
24975,FCz_t361,FCz_t362
24976,PO2_t13,AF3_t14
24977,CFC7_t133,C3_t134
24978,CFC1_t267,F3_t268
24979,CFC7_t59,CP1_t60
24980,F4_t118,F4_t119
24981,CFC3_t308,CFC3_t309
24982,CPz_t154,P1_t155
24983,Fz_t110,Fz_t111
24984,FC6_t367,FC6_t368
24985,CP6_t335,F6_t336
24986,PO1_t45,P2_t46
24987,FC1_t388,FC1_t389
24988,CP1_t137,CCP2_t138
24989,T8_t396,T8_t397
24990,P1_t316,Pz_t317
24991,PO2_t28,F2_t29
24992,CCP3_t307,CCP3_t308
24993,CCP5_t190,CCP5_t191
24994,FC3_t272,FC3_t273
24995,CCP4_t284,CFC5_t285
24996,CP1_t65,CP1_t66
24997,C1_t195,C1_t196
24998,C5_t251,FC5_t252
24999,Pz_t302,Pz_t303
25000,Fz_t168,Fz_t169
25001,CP4_t336,AF3_t337
25002,FC6_t109,FC6_t110
25003,C1_t281,F1_t282
25004,O2_t136,T7_t137
25005,CFC8_t322,O2_t323
25006,CP5_t310,CP5_t311
25007,F1_t218,F1_t219
25008,C5_t161,C5_t162
25009,CP4_t188,CP4_t189
25010,CP3_t136,CP3_t137
25011,CCP4_t55,CFC3_t56
25012,CCP8_t91,CCP8_t92
25013,P4_t113,CFC4_t114
25014,AF4_t174,AF4_t175
25015,CPz_t211,CP1_t212
25016,CFC3_t225,CFC3_t226
25017,CP5_t108,CP5_t109
25018,CP2_t30,CCP3_t31
25019,F5_t314,F5_t315
25020,F1_t275,F1_t276
25021,P3_t193,P3_t194
25022,Fz_t377,Fz_t378
25023,CCP3_t9,CFC2_t10
25024,FCz_t296,T7_t297
25025,Fz_t184,F4_t185
25026,C1_t127,Cz_t128
25027,C4_t95,C4_t96
25028,CCP6_t216,CCP6_t217
25029,FC3_t56,FC3_t57
25030,CFC7_t372,PO1_t373
25031,FC4_t99,FC4_t100
25032,C3_t218,C3_t219
25033,T7_t265,O2_t266
25034,C1_t299,CP3_t300
25035,CFC2_t90,CFC2_t91
25036,C1_t98,C1_t99
25037,CFC2_t221,CFC2_t222
25038,CCP7_t394,CCP7_t395
25039,P6_t76,PO2_t77
25040,P1_t102,F5_t103
25041,CCP2_t139,CCP2_t140
25042,CP1_t239,FC1_t240
25043,T7_t64,T7_t65
25044,CCP4_t248,CCP6_t249
25045,F2_t379,F2_t380
25046,CFC8_t82,F6_t83
25047,AF3_t378,AF3_t379
25048,FC5_t371,FC5_t372
25049,CP2_t369,CP6_t370
25050,P4_t191,O1_t192
25051,Fz_t179,Fz_t180
25052,CFC7_t269,CFC1_t270
25053,Fz_t397,P4_t398
25054,FC5_t52,FC5_t53
25055,C3_t194,C3_t195
25056,F2_t350,CP2_t351
25057,F6_t153,F6_t154
25058,P2_t13,P2_t14
25059,C1_t278,P4_t279
25060,Pz_t254,CP4_t255
25061,CP3_t259,CP3_t260
25062,CCP6_t55,O1_t56
25063,F3_t226,F3_t227
25064,P3_t367,P3_t368
25065,CP3_t94,P1_t95
25066,Cz_t234,F5_t235
25067,F1_t6,F1_t7
25068,CCP8_t290,CCP8_t291
25069,F5_t323,F5_t324
25070,P1_t6,CFC3_t7
25071,CFC4_t109,C3_t110
25072,AF3_t322,AF3_t323
25073,F1_t260,F1_t261
25074,C6_t217,C4_t218
25075,CP2_t306,CFC5_t307
25076,CFC2_t255,F1_t256
25077,P2_t270,P5_t271
25078,F4_t195,F4_t196
25079,Fz_t201,CFC8_t202
25080,O2_t48,C1_t49
25081,Pz_t121,Pz_t122
25082,AF3_t185,AF4_t186
25083,CFC7_t333,CFC7_t334
25084,AF3_t292,AF3_t293
25085,F4_t365,CP5_t366
25086,Pz_t143,Pz_t144
25087,O2_t336,FC2_t337
25088,P4_t217,CP5_t218
25089,CP3_t197,FC6_t198
25090,CFC5_t393,CFC5_t394
25091,P1_t0,P1_t1
25092,CCP7_t191,P4_t192
25093,CFC6_t306,P1_t307
25094,CFC7_t209,CP5_t210
25095,F2_t62,F2_t63
25096,CCP6_t74,CCP7_t75
25097,FC4_t183,P5_t184
25098,AF4_t247,AF4_t248
25099,FC6_t334,FC6_t335
25100,F1_t319,F1_t320
25101,PO1_t236,PO1_t237
25102,O2_t385,FC6_t386
25103,CCP3_t393,CCP3_t394
25104,AF4_t301,AF4_t302
25105,T8_t323,FC2_t324
25106,P3_t179,P3_t180
25107,O1_t176,P3_t177
25108,CP1_t216,C4_t217
25109,CFC4_t396,C4_t397
25110,Fz_t397,P6_t398
25111,FC2_t59,FC4_t60
25112,CFC6_t201,CFC6_t202
25113,CFC5_t20,CCP6_t21
25114,CFC3_t206,CFC3_t207
25115,F6_t135,F6_t136
25116,P5_t320,P6_t321
25117,CCP2_t94,T8_t95
25118,CFC4_t266,F6_t267
25119,P1_t9,CCP3_t10
25120,P4_t67,PO1_t68
25121,Cz_t300,CP4_t301
25122,F1_t214,F1_t215
25123,C3_t22,C3_t23
25124,T7_t228,T7_t229
25125,Pz_t278,Pz_t279
25126,CCP7_t286,CCP7_t287
25127,P1_t262,CCP7_t263
25128,CFC2_t240,CCP4_t241
25129,CPz_t304,CPz_t305
25130,PO2_t241,PO2_t242
25131,FC5_t327,FC5_t328
25132,CCP8_t54,CCP8_t55
25133,CFC8_t153,CFC6_t154
25134,F2_t279,F2_t280
25135,CPz_t310,CPz_t311
25136,C4_t56,C4_t57
25137,Fz_t18,Fz_t19
25138,O2_t218,O2_t219
25139,T8_t212,FC4_t213
25140,T8_t130,P1_t131
25141,O1_t54,O1_t55
25142,CP6_t79,CP6_t80
25143,Cz_t119,F1_t120
25144,PO1_t161,CP1_t162
25145,FC5_t382,C3_t383
25146,Pz_t394,Pz_t395
25147,T7_t27,CCP8_t28
25148,C5_t154,C5_t155
25149,T8_t211,Cz_t212
25150,C3_t367,CFC6_t368
25151,C3_t1,C3_t2
25152,F3_t372,F3_t373
25153,CPz_t41,F5_t42
25154,FC5_t205,C6_t206
25155,P3_t153,CP3_t154
25156,F2_t299,F2_t300
25157,O1_t264,O1_t265
25158,FC5_t77,F3_t78
25159,PO1_t295,CCP5_t296
25160,P3_t345,P3_t346
25161,FC6_t107,CFC2_t108
25162,F1_t37,F1_t38
25163,F5_t185,CFC2_t186
25164,CCP1_t203,CCP1_t204
25165,O2_t300,O2_t301
25166,CFC4_t328,PO2_t329
25167,O2_t96,O2_t97
25168,O2_t320,O2_t321
25169,CP1_t35,CP1_t36
25170,T7_t377,T7_t378
25171,CP3_t59,PO1_t60
25172,CFC8_t240,Cz_t241
25173,C6_t370,CFC2_t371
25174,CFC7_t150,F4_t151
25175,F3_t39,FC3_t40
25176,F4_t234,F4_t235
25177,O2_t151,O2_t152
25178,P6_t73,P6_t74
25179,P2_t226,P2_t227
25180,P1_t88,CP5_t89
25181,P5_t144,P6_t145
25182,CCP5_t302,CCP5_t303
25183,F2_t210,CP1_t211
25184,CP5_t11,C4_t12
25185,AF3_t353,P2_t354
25186,CCP5_t372,CP1_t373
25187,CFC3_t393,CFC3_t394
25188,PO2_t322,CP2_t323
25189,CCP6_t369,CCP6_t370
25190,FC6_t393,CP5_t394
25191,F4_t80,F2_t81
25192,AF4_t250,F4_t251
25193,PO2_t106,PO2_t107
25194,CP1_t120,CPz_t121
25195,AF4_t193,P2_t194
25196,P5_t311,CCP3_t312
25197,P3_t275,P3_t276
25198,P2_t146,P2_t147
25199,T7_t18,T7_t19
25200,F1_t50,F1_t51
25201,F6_t295,CP3_t296
25202,CCP1_t156,F1_t157
25203,Pz_t389,CP3_t390
25204,FC4_t168,FC4_t169
25205,C3_t313,C3_t314
25206,CCP7_t77,CCP8_t78
25207,CFC5_t315,CFC5_t316
25208,P6_t14,P6_t15
25209,FC3_t363,FC3_t364
25210,CFC7_t127,C2_t128
25211,FC1_t263,FC1_t264
25212,CP1_t48,F3_t49
25213,AF3_t149,F1_t150
25214,C2_t339,PO2_t340
25215,CFC4_t20,C5_t21
25216,T8_t31,T8_t32
25217,CFC1_t359,CCP7_t360
25218,C4_t138,P3_t139
25219,CFC5_t218,AF3_t219
25220,Pz_t390,Pz_t391
25221,FC4_t372,FC4_t373
25222,Pz_t391,CPz_t392
25223,CFC3_t263,CFC3_t264
25224,O2_t213,CFC7_t214
25225,CFC8_t249,CFC8_t250
25226,CP3_t319,CFC3_t320
25227,CP2_t372,CP2_t373
25228,CCP3_t22,C4_t23
25229,C6_t34,CFC6_t35
25230,F1_t144,F1_t145
25231,CCP4_t233,CCP5_t234
25232,CFC7_t295,CFC7_t296
25233,P4_t293,P4_t294
25234,FCz_t346,CFC1_t347
25235,CCP3_t244,C2_t245
25236,CFC5_t379,P3_t380
25237,CFC2_t110,CFC2_t111
25238,F5_t380,CCP6_t381
25239,F2_t237,F2_t238
25240,CPz_t22,CPz_t23
25241,CFC2_t381,CFC2_t382
25242,CFC1_t280,P2_t281
25243,AF4_t31,AF4_t32
25244,C4_t305,PO1_t306
25245,C1_t306,C1_t307
25246,Cz_t322,CP1_t323
25247,CCP6_t116,CCP6_t117
25248,P3_t204,P3_t205
25249,Pz_t310,Fz_t311
25250,CP3_t317,CP3_t318
25251,CP4_t33,CCP8_t34
25252,FC3_t297,FC3_t298
25253,PO1_t165,PO1_t166
25254,F5_t287,F5_t288
25255,CFC4_t195,CFC4_t196
25256,P2_t215,Cz_t216
25257,CCP3_t287,AF4_t288
25258,AF3_t291,FC3_t292
25259,CCP6_t283,CCP6_t284
25260,CP1_t222,CP1_t223
25261,FCz_t26,PO2_t27
25262,C2_t362,C2_t363
25263,CCP6_t174,AF4_t175
25264,CP6_t269,CP6_t270
25265,C2_t257,P1_t258
25266,CP3_t121,CP3_t122
25267,F3_t49,FC3_t50
25268,C2_t262,C2_t263
25269,CPz_t378,CPz_t379
25270,P1_t179,P1_t180
25271,P4_t161,P4_t162
25272,P2_t223,P2_t224
25273,C5_t369,CP6_t370
25274,CCP6_t329,C4_t330
25275,F1_t222,F1_t223
25276,P3_t331,CCP3_t332
25277,F5_t193,O1_t194
25278,T7_t322,FC5_t323
25279,P5_t329,P5_t330
25280,F4_t104,F4_t105
25281,AF3_t354,P1_t355
25282,FC6_t203,C4_t204
25283,CFC2_t190,CFC2_t191
25284,CCP7_t397,O2_t398
25285,FCz_t7,F2_t8
25286,C2_t118,C2_t119
25287,F1_t232,F1_t233
25288,CFC1_t100,CFC1_t101
25289,FC1_t335,FC1_t336
25290,CP5_t391,CP5_t392
25291,Fz_t208,Fz_t209
25292,Cz_t382,FC3_t383
25293,CCP6_t313,CP2_t314
25294,CCP6_t92,CCP8_t93
25295,P4_t30,CP6_t31
25296,C4_t27,CP6_t28
25297,P5_t108,P5_t109
25298,C4_t161,CP6_t162
25299,PO1_t207,P2_t208
25300,P4_t249,AF3_t250
25301,CP2_t102,P1_t103
25302,CP2_t52,CP2_t53
25303,C1_t261,C1_t262
25304,C6_t326,CFC5_t327
25305,CCP6_t366,PO2_t367
25306,CFC6_t228,P5_t229
25307,FC3_t355,FC3_t356
25308,CP2_t340,CP2_t341
25309,F1_t80,CCP6_t81
25310,P5_t288,C4_t289
25311,CCP1_t107,CFC5_t108
25312,CFC5_t300,FC6_t301
25313,CFC2_t230,CFC2_t231
25314,CP1_t96,CP1_t97
25315,FCz_t251,CFC4_t252
25316,CCP1_t283,CCP1_t284
25317,O1_t317,PO2_t318
25318,CP3_t374,CP3_t375
25319,FCz_t148,F1_t149
25320,CCP1_t173,CCP1_t174
25321,T7_t295,T7_t296
25322,CCP6_t68,C6_t69
25323,CP4_t9,CP4_t10
25324,CFC7_t22,CFC7_t23
25325,PO2_t197,C5_t198
25326,CFC7_t326,CFC7_t327
25327,F4_t75,F4_t76
25328,CCP6_t255,CCP6_t256
25329,CP6_t281,C3_t282
25330,CFC6_t342,CFC6_t343
25331,CP3_t369,CP3_t370
25332,FC3_t46,FC3_t47
25333,P4_t185,P4_t186
25334,CFC8_t61,F3_t62
25335,C5_t235,C5_t236
